city_name,year,population,log_pop,log_pop_lag1,city_code,A1301,A1302,A1303,A4101,A4200,A5101,A5102,A7101,A710101,share_under15,share_over65,birth_rate,death_rate,net_mig_rate,nat_inc_rate,soc_inc_rate,W_log_pop_lag1
かすみがうら市,1976,36119.0,10.49457432165487,10.485312034451807,,4376.0,22859.0,12779.0,176.0,594.0,1248.0,1239.0,15271.0,15230.0,0.12115507073839253,0.35380270771616046,0.004872781638472826,0.016445638029845788,0.0002491763337855422,-0.011572856391372961,0.0002491763337855422,
かすみがうら市,1977,36736.0,10.511512479679238,10.49457432165487,,4376.0,22859.0,12779.0,176.0,594.0,1248.0,1239.0,15271.0,15230.0,0.11912020905923346,0.3478604094076655,0.004790940766550522,0.016169425087108013,0.00024499128919860626,-0.011378484320557491,0.00024499128919860626,10.578566577802624
かすみがうら市,1978,37387.0,10.529078329395084,10.511512479679238,,4376.0,22859.0,12779.0,176.0,594.0,1248.0,1239.0,15271.0,15230.0,0.11704603204322359,0.34180330061251235,0.0047075186562174015,0.01588787546473373,0.00024072538582929897,-0.01118035680851633,0.00024072538582929897,10.592117821454435
かすみがうら市,1979,37919.0,10.543207584713212,10.529078329395084,,4376.0,22859.0,12779.0,176.0,594.0,1248.0,1239.0,15271.0,15230.0,0.11540388723331312,0.3370078324850339,0.004641472612674385,0.01566497006777605,0.00023734803132994013,-0.011023497455101665,0.00023734803132994013,10.676367062163173
かすみがうら市,1980,38797.0,10.566098203034423,10.543207584713212,,4376.0,22859.0,12779.0,176.0,594.0,1248.0,1239.0,15271.0,15230.0,0.11279222620305694,0.32938113771683375,0.004536433229373405,0.015310462149135243,0.00023197669922932185,-0.010774028919761838,0.00023197669922932185,10.693356167127874
かすみがうら市,1981,39430.0,10.582282226871673,10.566098203034423,,4376.0,22859.0,12779.0,176.0,594.0,1248.0,1239.0,15271.0,15230.0,0.11098148617803703,0.32409332995181334,0.004463606391072787,0.015064671569870658,0.0002282525995434948,-0.01060106517879787,0.0002282525995434948,10.70743798632828
かすみがうら市,1982,40030.0,10.59738445198662,10.582282226871673,,4376.0,22859.0,12779.0,176.0,594.0,1248.0,1239.0,15271.0,15230.0,0.10931801149138147,0.31923557332001,0.004396702473145141,0.014838870846864851,0.00022483137646764925,-0.01044216837371971,0.00022483137646764925,10.716441350067802
かすみがうら市,1983,40559.0,10.610512983128782,10.59738445198662,,4376.0,22859.0,12779.0,176.0,594.0,1248.0,1239.0,15271.0,15230.0,0.10789220641534554,0.3150718706082497,0.004339357479227791,0.014645331492393797,0.0002218989620059666,-0.010305974013166005,0.0002218989620059666,10.726883405157379
かすみがうら市,1984,40807.0,10.616608914303493,10.610512983128782,,4376.0,22859.0,12779.0,176.0,594.0,1248.0,1239.0,15271.0,15230.0,0.10723650354105914,0.3131570563873845,0.004312985517190678,0.01455632612051854,0.0002205503957654324,-0.01024334060332786,0.0002205503957654324,10.737821102706976
かすみがうら市,1985,41306.0,10.628763046847595,10.616608914303493,,4376.0,22859.0,12779.0,176.0,594.0,1248.0,1239.0,15271.0,15230.0,0.10594102551687407,0.3093739408318404,0.004260882196291096,0.014380477412482448,0.00021788602140124922,-0.010119595216191352,0.00021788602140124922,10.746258295119832
かすみがうら市,1986,41673.0,10.6376087160655,10.628763046847595,,4376.0,22859.0,12779.0,176.0,594.0,1248.0,1239.0,15271.0,15230.0,0.10500803877810573,0.3066493892928275,0.0042233580495764644,0.014253833417320567,0.00021596717298970556,-0.010030475367744103,0.00021596717298970556,10.758308126877827
かすみがうら市,1987,41929.0,10.643732990607813,10.6376087160655,,4376.0,22859.0,12779.0,176.0,594.0,1248.0,1239.0,15271.0,15230.0,0.10436690596007536,0.3047771232321305,0.004197572086145627,0.01416680579074149,0.0002146485725869923,-0.009969233704595864,0.0002146485725869923,10.765250331343587
かすみがうら市,1988,42393.0,10.654738533250857,10.643732990607813,,4376.0,22859.0,12779.0,176.0,594.0,1248.0,1239.0,15271.0,15230.0,0.10322458896515935,0.30144127568230605,0.004151628806642606,0.014011747222418795,0.00021229920033967873,-0.009860118415776189,0.00021229920033967873,10.773676099787044
かすみがうら市,1990,43013.0,10.669257674565925,10.654738533250857,,4376.0,22859.0,12779.0,176.0,594.0,1248.0,1239.0,15271.0,15230.0,0.1017366842582475,0.29709622672215374,0.004091786204170832,0.013809778439076558,0.00020923906725873572,-0.009717992234905725,0.00020923906725873572,
かすみがうら市,1991,43569.0,10.682101167275912,10.669257674565925,,4376.0,22859.0,12779.0,176.0,594.0,1248.0,1239.0,15271.0,15230.0,0.10043838509031651,0.29330487273061123,0.004039569418623333,0.013633546787853749,0.0002065688907250568,-0.009593977369230417,0.0002065688907250568,10.798588527677943
かすみがうら市,1992,44199.0,10.696457443375463,10.682101167275912,,4376.0,22859.0,12779.0,176.0,594.0,1248.0,1239.0,15271.0,15230.0,0.09900676485893346,0.2891241883300527,0.003981990542772461,0.013439218081857055,0.00020362451639177357,-0.009457227539084595,0.00020362451639177357,10.815689129440804
かすみがうら市,1993,44679.0,10.707258871553975,10.696457443375463,,4376.0,22859.0,12779.0,176.0,594.0,1248.0,1239.0,15271.0,15230.0,0.0979431052619799,0.28601803979498197,0.003939210814924238,0.0132948365003693,0.00020143691667226215,-0.009355625685445063,0.00020143691667226215,10.831656334056817
かすみがうら市,1994,44972.0,10.713795352869653,10.707258871553975,,4376.0,22859.0,12779.0,176.0,594.0,1248.0,1239.0,15271.0,15230.0,0.09730498977141333,0.2841545850751579,0.0039135462065285065,0.01320821844703371,0.00020012452192475318,-0.009294672240505203,0.00020012452192475318,10.844421327205085
かすみがうら市,1995,45288.0,10.720797375716495,10.713795352869653,,4376.0,22859.0,12779.0,176.0,594.0,1248.0,1239.0,15271.0,15230.0,0.09662603780250839,0.28217187776011304,0.0038862391803568272,0.013116057233704292,0.0001987281399046105,-0.009229818053347466,0.0001987281399046105,10.85956185099483
かすみがうら市,1996,45654.0,10.728846505404578,10.720797375716495,,4376.0,22859.0,12779.0,176.0,594.0,1248.0,1239.0,15271.0,15230.0,0.09585140403907653,0.27990975599071277,0.00385508389188242,0.013010908135103168,0.00019713497174398737,-0.009155824243220749,0.00019713497174398737,10.870390888798852
かすみがうら市,1997,45784.0,10.731689964088938,10.728846505404578,,4376.0,22859.0,12779.0,176.0,594.0,1248.0,1239.0,15271.0,15230.0,0.09557924165647387,0.27911497466363794,0.0038441376900227153,0.012973964703826665,0.00019657522278525248,-0.00912982701380395,0.00019657522278525248,10.876106754312454
かすみがうら市,1998,45910.0,10.734438237243268,10.731689964088938,,4376.0,22859.0,12779.0,176.0,594.0,1248.0,1239.0,15271.0,15230.0,0.09531692441733827,0.27834894358527557,0.0038335874537137877,0.012938357656284033,0.0001960357220649096,-0.009104770202570245,0.0001960357220649096,10.881160490675859
かすみがうら市,1999,45798.0,10.731995701026523,10.734438237243268,,4376.0,22859.0,12779.0,176.0,594.0,1248.0,1239.0,15271.0,15230.0,0.09555002401851609,0.2790296519498668,0.003842962574784925,0.012969998689899122,0.0001965151316651382,-0.009127036115114198,0.0001965151316651382,10.885334107466484
かすみがうら市,2000,45229.0,10.719493753007932,10.731995701026523,,4376.0,22859.0,12779.0,176.0,594.0,1248.0,1239.0,15271.0,15230.0,0.09675208384001414,0.2825399632978841,0.0038913086736385946,0.013133166773530257,0.00019898737535651906,-0.009241858099891663,0.00019898737535651906,10.887229115437385
かすみがうら市,2001,45263.0,10.720245200685072,10.719493753007932,,4376.0,22859.0,12779.0,176.0,594.0,1248.0,1239.0,15271.0,15230.0,0.09667940702118728,0.28232772905021764,0.003888385657159269,0.013123301592912534,0.00019883790292291717,-0.009234915935753265,0.00019883790292291717,10.881846430169523
かすみがうら市,2002,45198.0,10.718808117053747,10.720245200685072,,4376.0,22859.0,12779.0,176.0,594.0,1248.0,1239.0,15271.0,15230.0,0.09681844329395106,0.28273374928094164,0.0038939776096287445,0.013142174432497013,0.00019912385503783353,-0.009248196822868269,0.00019912385503783353,10.882223814749644
かすみがうら市,2003,45094.0,10.716504478946458,10.718808117053747,,4376.0,22859.0,12779.0,176.0,594.0,1248.0,1239.0,15271.0,15230.0,0.09704173504235597,0.28338581629485077,0.003902958264957644,0.013172484144232048,0.00019958309309442497,-0.009269525879274404,0.00019958309309442497,10.88361339094505
かすみがうら市,2004,45051.0,10.71555046034839,10.716504478946458,,4376.0,22859.0,12779.0,176.0,594.0,1248.0,1239.0,15271.0,15230.0,0.09713435883776164,0.28365630063705577,0.003906683536436483,0.01318505693547313,0.00019977358993141108,-0.009278373399036647,0.00019977358993141108,10.883881986064104
かすみがうら市,2005,44603.0,10.705556400319988,10.71555046034839,,4376.0,22859.0,12779.0,176.0,594.0,1248.0,1239.0,15271.0,15230.0,0.09810999260139452,0.2865053920139901,0.003945922919982961,0.013317489854942492,0.0002017801493173105,-0.009371566934959531,0.0002017801493173105,10.884436902832741
