city_name,PC1_loading,PC2_loading,PC3_loading
かすみがうら市,0.163337414535937,0.14354532562988837,-0.008162727450897935
つくばみらい市,-0.07047318569467367,0.20301761060348847,0.18452456020091967
つくば市,-0.04854342496507487,0.215254840130212,0.0843952118989335
ひたちなか市,-0.0022075693035274327,0.22163322318286827,0.00443931787644373
下妻市,0.12382701911136994,0.17461584832342808,-0.1641777109963645
五霞町,0.19247757796915738,0.056662148600650226,-0.2371006120386606
八千代町,0.21170182658274528,-0.021708905371990776,0.06975906101057168
利根町,0.14260861004472025,0.1048063870325894,0.4759699143733176
北茨城市,0.209395056166457,-0.03265341422710924,0.11361339023565901
取手市,0.1316892235145594,0.15047016141128544,0.3314417362657704
古河市,0.07828940069594867,0.2049626368187475,0.0397728385645453
土浦市,0.042160554000759326,0.2162458007422262,-0.01259867204135633
坂東市,0.21209884681632937,0.006743137860678614,0.10110967120995622
城里町,0.1940032714441751,0.012085726717552678,-0.3356119463498457
境町,0.20941993031946982,-0.0023997602942973147,0.08288502299632133
大子町,0.13640345083230118,-0.1710273950804619,0.04259456527904964
大洗町,0.1569802677615957,-0.15092417488529464,-0.010134511674641198
守谷市,-0.030610048345435893,0.21813013334697887,-0.07175846054037108
小美玉市,0.10083696966201008,0.1912162011451198,-0.1567987337950922
常総市,0.1877941083256777,0.09821355622827117,-0.09351541878323423
常陸大宮市,0.17307526480665889,-0.1299096179866808,-0.03511720384031208
常陸太田市,0.19276692056738798,-0.08898221437184857,-0.14700791203586655
日立市,0.16270323262461864,-0.14209620742627802,0.09197384443766811
東海村,-0.05824212789170127,0.21039922581398943,-0.026223879268077215
桜川市,0.18010993506642944,-0.12006601845650622,0.014950166180640507
水戸市,-0.007588544208703882,0.21583144625860984,0.17486056633175695
河内町,0.18101515925257583,-0.11555609772570297,-0.10242595994043753
潮来市,0.21016047287702233,0.038118461720767154,-0.029087034509736973
牛久市,-0.014831185994600963,0.22123060729366148,0.03795637809471465
石岡市,0.20714674190792196,0.05302395255940306,-0.061703736348321006
神栖市,-0.03476936873412946,0.2164044577763281,-0.12850865192981223
稲敷市,0.2041168744450312,0.040353906466917805,-0.19089422913832696
笠間市,0.17769108719052762,0.11703087573937959,-0.149026789331207
筑西市,0.20675242450092574,-0.04150602022085697,0.13656132687420763
結城市,0.15673225085150763,0.12638194210476697,0.2957746920191467
美浦村,0.11264024927835739,0.1716439069688264,0.0031458871354948285
茨城町,0.2064363881774416,0.024672145061033095,0.1487409249414476
行方市,0.17397590570850283,-0.12938547161688105,0.01230091083731652
那珂市,0.04841066178165665,0.21448621090597503,-0.06337931727297588
鉾田市,0.20448192289310366,0.05215217884966805,-0.1138784051811894
阿見町,-0.0020380846711100867,0.2210385882142225,-0.023996625352454632
高萩市,0.2035704501840111,-0.06139123230083173,0.09001241696546253
鹿嶋市,-0.028089276418194604,0.21814884924139585,-0.03697657405075902
龍ケ崎市,0.0015396866653713394,0.2159981256921527,-0.19885029249467148
