,AR(1),AR(1)+W,AR(1)+W+SSDSE
const,0.015118695363317503,0.06110899670600567,0.12735109082209872
log_pop_lag1,0.999225081413415,0.9990578667232558,0.9926313058930798
W_log_pop_lag1,,-0.004107218729962447,-0.005932129709235512
share_under15,,,-0.02854852889795989
share_over65,,,0.13775387663168637
nat_inc_rate,,,2.3182983427718824
soc_inc_rate,,,0.044904792419181216
A7101,,,5.659575212296937e-05
A710101,,,-5.655725876925152e-05
